0	2	634
1	2	509
2	2	134
3	2	2558
4	2	2517
5	0	1224
5	1	1077
6	0	3117
6	1	1077
7	2	1171
8	0	1224
8	1	587
9	2	4340
10	2	1613
11	2	1870
12	2	4056
13	0	959
13	1	587
14	2	1836
15	0	1224
15	1	1171
16	2	2729
17	2	4204
18	2	2687
19	2	3662
20	2	1338
21	2	2695
22	2	1061
23	2	914
24	2	5095
25	2	2938
26	2	115
27	2	192
28	2	161
29	2	155
30	0	1224
30	1	617
31	2	1425
32	0	3181
32	1	3466
33	2	3140
34	0	2731
34	1	2729
35	2	2956
36	0	3117
36	1	2729
37	2	4191
38	0	3117
38	1	1524
39	2	1176
40	2	1725
41	2	1092
42	2	1551
43	0	4436
43	1	1077
44	2	2621
45	2	4575
46	0	1224
46	1	4056
47	2	1706
48	2	2192
49	0	1224
49	1	1734
50	2	2737
51	0	1391
51	1	1524
52	0	1523
52	1	587
53	2	5155
54	2	899
55	2	193
56	2	767
57	0	1224
57	1	632
58	2	3587
59	0	1581
59	1	587
60	2	468
61	0	959
61	1	4565
62	0	959
62	1	4056
63	0	3117
63	1	1734
64	2	287
65	2	3823
66	2	2801
67	0	644
67	1	3466
68	0	2835
68	1	1077
69	2	4227
70	2	1905
71	2	4581
72	2	4360
73	0	3117
73	1	2897
74	0	3117
74	1	2649
75	2	1367
76	2	4870
77	2	1914
78	0	2327
78	1	1077
79	0	1662
79	1	1077
80	2	4003
81	0	3117
81	1	204
82	0	1581
82	1	1855
83	0	2240
83	1	1077
84	2	3434
85	0	3716
85	1	587
86	0	2920
86	1	4340
87	0	1987
87	1	1524
88	0	3117
88	1	914
89	2	4207
90	2	3547
91	0	1224
91	1	2801
92	2	4958
93	2	1919
94	0	4054
94	1	2649
95	2	4123
96	0	1224
96	1	895
97	0	1523
97	1	509
98	0	1581
98	1	4565
99	0	1581
99	1	2649
100	0	4054
100	1	1171
101	2	826
102	2	4160
103	0	5096
103	1	1171
104	2	803
105	2	4165
106	0	2570
106	1	4210
107	2	8
108	2	4819
109	0	3117
109	1	3317
110	2	3887
111	2	3321
112	2	2295
113	0	1639
113	1	617
114	2	841
115	0	2327
115	1	1061
116	0	3620
116	1	4723
117	0	1523
117	1	632
118	0	1581
118	1	2558
119	2	1036
120	2	749
121	0	1391
121	1	3244
122	0	1224
122	1	3352
123	0	1391
123	1	1061
124	2	3202
125	2	3809
126	2	1932
127	0	2920
127	1	2558
128	2	1365
129	0	3117
129	1	2558
130	2	4
131	2	3230
132	2	1688
133	0	3117
133	1	2801
134	2	5152
135	0	4709
135	1	1524
136	0	3502
136	1	3466
137	0	965
137	1	1171
138	2	2046
139	0	1391
139	1	3076
140	2	2592
141	0	1224
141	1	4210
142	0	1224
142	1	3307
143	0	2240
143	1	509
144	0	2920
144	1	3317
145	0	3716
145	1	1061
146	2	3171
147	2	4962
148	0	2731
148	1	1524
149	0	3261
149	1	1171
150	2	11
151	0	3117
151	1	897
152	0	3795
152	1	2318
153	0	1581
153	1	632
154	0	1224
154	1	3232
155	0	1987
155	1	1171
156	2	2333
157	0	3117
157	1	4056
158	2	720
159	2	87
160	0	3723
160	1	1008
161	0	2731
161	1	1855
162	0	3738
162	1	290
163	0	4436
163	1	3466
164	0	4436
164	1	617
165	0	3620
165	1	1855
166	0	2920
166	1	1855
167	2	1959
168	2	4616
169	2	2353
170	0	2221
170	1	3466
171	0	2731
171	1	914
172	2	2478
173	2	2307
174	0	1639
174	1	1855
175	0	1581
175	1	866
176	0	1391
176	1	866
177	0	1662
177	1	1855
178	0	2731
178	1	2897
179	2	3208
180	2	3421
181	0	3738
181	1	587
182	0	959
182	1	4506
183	0	2240
183	1	3232
184	2	766
185	2	3875
186	0	1581
186	1	3352
187	0	1581
187	1	3270
188	2	1562
189	0	1523
189	1	4056
190	2	3555
191	2	4785
192	0	959
192	1	4340
193	2	1256
194	0	2327
194	1	632
195	0	1224
195	1	2214
196	2	198
197	0	4436
197	1	2558
198	0	4319
198	1	1538
199	2	669
200	0	959
200	1	2729
201	2	1694
202	2	75
203	0	2240
203	1	634
204	2	5098
205	0	4709
205	1	1077
206	0	3261
206	1	1008
207	0	1224
207	1	2553
208	0	1791
208	1	587
209	0	1662
209	1	1171
210	0	1581
210	1	4506
211	2	3761
212	2	1434
213	2	4331
214	2	2080
215	0	1224
215	1	1782
216	0	1581
216	1	2737
217	0	2213
217	1	2558
218	2	4256
219	0	3117
219	1	3366
220	2	886
221	2	2461
222	0	2920
222	1	1538
223	2	66
224	0	4319
224	1	155
225	0	2240
225	1	1171
226	2	1170
227	0	3181
227	1	1171
228	0	1224
228	1	2318
229	0	2920
229	1	3959
230	0	2213
230	1	509
231	0	1581
231	1	204
232	0	1391
232	1	578
233	0	3716
233	1	3244
234	0	2240
234	1	4565
235	0	2615
235	1	509
236	0	959
236	1	1008
237	0	4757
237	1	1171
238	2	216
239	0	3220
239	1	587
240	0	2570
240	1	587
241	2	958
242	2	2977
243	2	1669
244	0	1523
244	1	2558
245	2	4452
246	0	2731
246	1	617
247	2	2611
248	2	4039
249	0	1523
249	1	2649
250	2	2762
251	2	82
252	2	3657
253	0	965
253	1	1855
254	2	4395
255	2	3513
256	2	4239
257	2	347
258	0	3117
258	1	2214
259	0	2327
259	1	634
260	0	2731
260	1	134
261	0	4054
261	1	1855
262	0	2731
262	1	204
263	0	2703
263	1	134
264	0	2989
264	1	1077
265	2	763
266	2	1800
267	2	2823
268	0	289
268	1	587
269	0	1494
269	1	1613
270	2	4566
271	2	3212
272	0	3716
272	1	2649
273	2	319
274	2	645
275	0	1224
275	1	578
276	2	1739
277	0	3795
277	1	1855
278	0	1224
278	1	5117
