459	1	471	270	3
471	257	459	270	12
5205	90	464	270	100
464	346	5205	270	100
463	69	458	270	2
458	325	463	270	1
3093	63	57	270	100
57	319	3093	270	100
17519	151	3881	270	100
3881	407	17519	270	100
4935	0	7803	270	100
7803	256	4935	270	100
2820	4	458	270	5
458	260	2820	270	7
64	1	458	270	100
458	257	64	270	21
42	20	4145	270	100
4145	276	42	270	100
42	20	19	270	3
19	276	42	270	1
42	20	1449	270	100
1449	276	42	270	1
445	34	477	270	14
477	290	445	270	12
1323	0	344	270	100
344	256	1323	270	100
100	28	390	270	22
390	284	100	270	4
455	0	765	270	100
765	256	455	270	32
44	20	4145	270	100
4145	276	44	270	100
44	20	19	270	2
19	276	44	270	1
44	20	1449	270	100
1449	276	44	270	4
9731	0	445	270	1
445	256	9731	270	14
298	6	397	270	1
397	262	298	270	1
19	20	161	270	19
161	276	19	270	1
19	2	42	270	1
42	258	19	270	1
42	20	41	270	100
41	276	42	270	1
19	34	122	270	2
122	290	19	270	1
19	5	42	270	1
42	261	19	270	1
19	43	20	270	5
20	299	19	270	1
2274	1	44	270	7
44	257	2274	270	100
21995	31	9096	270	100
9096	287	21995	270	100
9096	32	21995	270	100
21995	288	9096	270	100
8044	0	1125	270	100
1125	256	8044	270	100
2618	1	451	270	1
451	257	2618	270	2
2618	15	451	270	1
451	271	2618	270	1
970	1	451	270	1
451	257	970	270	4
3454	5	11779	270	3
11779	261	3454	270	2
4115	29	2211	270	1
2211	285	4115	270	2
3454	2	2211	270	3
2211	258	3454	270	100
50	51	80	270	1
80	307	50	270	1
50	52	80	270	1
80	308	50	270	2
4447	0	80	270	10
80	256	4447	270	100
80	6	50	270	2
50	262	80	270	1
312	20	80	270	100
80	276	312	270	100
5248	40	163	270	1
163	296	5248	270	43
19	5	396	270	9
396	261	19	270	1
19	20	42	270	1
42	276	19	270	2
19	5	391	270	1
391	261	19	270	1
306	32	21996	270	100
21996	288	306	270	100
21996	31	306	270	100
306	287	21996	270	100
972	62	306	270	16
306	318	972	270	100
6	47	2361	270	100
2361	303	6	270	100
2361	47	6	270	100
6	303	2361	270	100
788	0	260	270	1
260	256	788	270	21
373	20	50	270	1
50	276	373	270	100
465	1	459	270	1
459	257	465	270	33
112	25	460	270	1
460	281	112	270	1
460	25	112	270	4
112	281	460	270	2
251	20	66	270	1
66	276	251	270	4
66	6	65	270	31
65	262	66	270	16
415	59	906	270	2
906	315	415	270	1
906	59	415	270	1
415	315	906	270	1
300	0	6	270	11
6	256	300	270	56
53	76	224	270	100
224	332	53	270	100
53	76	8352	270	100
8352	332	53	270	6
53	15	2187	270	2
2187	271	53	270	1
53	76	168	270	100
168	332	53	270	15
224	76	53	270	100
53	332	224	270	100
8352	76	53	270	11
53	332	8352	270	29
168	76	53	270	14
53	332	168	270	100
53	15	8422	270	100
8422	271	53	270	100
8279	47	2694	270	1
2694	303	8279	270	1
2694	47	8279	270	1
8279	303	2694	270	1
511	47	3423	270	100
3423	303	511	270	100
3423	47	511	270	100
511	303	3423	270	100
3423	47	117	270	28
117	303	3423	270	100
117	47	3423	270	54
3423	303	117	270	3
44	6	377	270	1
377	262	44	270	2
44	6	455	270	1
455	262	44	270	9
122	34	45	270	2
45	290	122	270	1
19	20	382	270	4
382	276	19	270	1
19	20	20	270	4
20	276	19	270	1
1069	1	2780	270	1
2780	257	1069	270	100
1688	4	15312	270	100
15312	260	1688	270	100
414	2	391	270	2
391	258	414	270	1
414	40	391	270	6
391	296	414	270	2
9130	0	94	270	100
94	256	9130	270	100
428	31	1000	270	1
1000	287	428	270	1
1000	32	428	270	1
428	288	1000	270	2
1000	0	1690	270	2
1690	256	1000	270	1
2780	32	66	270	1
66	288	2780	270	100
66	31	2780	270	100
2780	287	66	270	1
2780	0	80	270	100
80	256	2780	270	100
97	66	6	270	100
6	322	97	270	100
463	5	22	270	100
22	261	463	270	100
463	5	459	270	1
459	261	463	270	1
463	88	22	270	100
22	344	463	270	100
13544	4	3780	270	2
3780	260	13544	270	13
13544	20	3780	270	2
3780	276	13544	270	1
13544	6	164	270	1
164	262	13544	270	36
11013	6	3780	270	1
3780	262	11013	270	6
11013	20	164	270	1
164	276	11013	270	1
11013	1	8778	270	100
8778	257	11013	270	100
14	20	1175	270	7
1175	276	14	270	2
15	4	9787	270	16
9787	260	15	270	1
1437	31	3810	270	100
3810	287	1437	270	100
3810	32	1437	270	100
1437	288	3810	270	100
10275	47	3810	270	100
3810	303	10275	270	100
3810	47	10275	270	100
10275	303	3810	270	100
3810	27	10275	270	100
10275	283	3810	270	100
3810	0	145	270	1
145	256	3810	270	12
10149	47	3810	270	100
3810	303	10149	270	100
3810	47	10149	270	100
10149	303	3810	270	100
5115	0	428	270	100
428	256	5115	270	100
145	8	3398	270	100
3398	264	145	270	100
5115	0	145	270	3
145	256	5115	270	100
6061	1	5128	270	100
5128	257	6061	270	100
6061	15	5128	270	100
5128	271	6061	270	100
3818	47	5128	270	100
5128	303	3818	270	100
5128	47	3818	270	100
3818	303	5128	270	100
294	0	729	270	100
729	256	294	270	100
